,user,course,account,year,progress
1921,1989966,501959,3819,2020,92.42
1922,1989966,501962,3819,2020,63.33
1923,1989966,501938,3832,2020,25.0
1924,1989966,502022,3832,2020,24.48
1925,1992801,502821,3866,2020,56.37
1926,1992801,502828,3866,2020,94.12
1927,1992801,502826,3866,2020,100.0
1928,1840634,488778,3838,2019,44.4
1929,1840634,488788,3838,2019,0.97
1930,1996175,502119,3834,2020,1.76
1931,1858195,489072,3839,2019,36.82
1932,1858195,488562,3819,2019,86.1
1933,1858195,501962,3819,2020,2.5
1934,1890778,488504,3819,2019,98.13
1935,1890778,501963,3819,2020,1.77
1936,1813844,489170,3834,2019,100.0
1937,1813844,489182,3834,2019,0.27
1938,1813844,501898,3834,2020,25.0
1939,1994707,502362,3824,2020,70.22
1940,1853951,472576,3838,2018,21.52
1941,1871904,489076,3834,2019,33.28
1942,1636027,498240,3843,2019,25.01
1943,1636027,502586,3843,2020,65.94
1944,1636027,502588,3843,2020,3.84
1945,1636027,502591,3843,2020,8.99
1946,1985541,502591,3843,2020,8.99
1947,1985541,502589,3843,2020,0.07
1948,1831500,489384,3848,2018,10.57
1949,1994094,502821,3866,2020,56.38
1950,1994094,502828,3866,2020,94.12
1951,1994094,502826,3866,2020,97.06
1952,1994094,502586,3843,2020,11.01
1953,1896617,497292,3834,2019,18.79
1954,1855975,470549,3824,2018,99.97
1955,1930625,502569,3848,2020,98.76
1956,1930625,511090,3848,2020,36.99
1957,1825486,470895,3821,2018,38.41
1958,1825486,470897,3821,2018,36.9
1959,1825486,489197,3821,2019,52.09
1960,1825486,489229,3821,2019,100.0
1961,1825486,489190,3821,2019,50.57
1962,1861034,489124,3834,2019,18.03
1963,1810277,445908,3883,2017,96.46
1964,1810277,445897,3883,2017,0.26
1965,1825492,488474,3911,2019,20.92
1966,1825492,511034,3911,2020,33.33
1967,1825492,501928,3911,2020,50.01
1968,1825492,501931,3911,2020,88.4
1969,1825492,501934,3911,2020,2.78
1970,1933173,488517,3819,2019,85.86
1971,1933173,501911,3819,2020,25.0
1972,1933173,501962,3819,2020,20.01
1973,1853950,469751,3883,2018,84.48
1974,1853950,469751,3883,2018,84.48
1975,1807977,456171,3911,2017,0.98
1976,1644902,501868,3947,2020,27.78
1977,1994095,520870,3838,2020,54.19
1978,1812282,502021,3837,2020,10.0
1979,1812282,501955,3837,2020,2.88
1980,1701066,440942,3824,2017,100.0
1981,1894018,489085,3824,2019,20.66
1982,1994559,501922,3836,2020,100.0
1983,1853940,470901,3821,2018,8.16
1984,1853940,470909,3821,2018,100.0
1985,1853940,470898,3821,2018,100.0
1986,1994708,502119,3834,2020,11.46
1987,1895417,489124,3834,2019,66.67
1988,1895417,489124,3834,2019,66.67
1989,1812828,502826,3866,2020,38.24
1990,1994709,502720,3830,2020,3.28
1991,1733626,502370,3824,2020,29.35
1992,1809125,445908,3883,2017,96.79
1993,1809125,445897,3883,2017,0.3
1994,1816270,489074,3883,2019,92.06
1995,1816270,516172,3835,2020,18.15
1996,1921049,489124,3834,2019,52.79
1997,1921369,523791,3883,2020,27.28
1998,1893907,501925,3911,2020,13.28
1999,1893907,511034,3911,2020,16.67
2000,1904041,502760,3839,2020,100.0
2001,1904041,502221,3839,2020,100.0
2002,1904041,502748,3839,2020,13.64
2003,1904041,502754,3839,2020,75.0
2004,1994284,502362,3824,2020,48.42
2005,1900392,488778,3838,2019,3.29
2006,1900392,489663,3830,2019,7.81
2007,1919295,489124,3834,2019,91.03
2008,1673103,417154,3821,2016,11.09
2009,1673103,417157,3821,2016,89.32
2010,1673103,417158,3821,2016,8.67
2011,2010423,502215,3839,2020,1.44
2012,1992381,502000,3837,2020,87.16
2013,1992381,502002,3837,2020,100.0
2014,1998600,502119,3834,2020,4.84
2015,1854383,502119,3834,2020,5.14
2016,1810328,445908,3883,2017,96.46
2017,1810328,445897,3883,2017,0.26
2018,1810328,445909,3883,2017,48.78
2019,1810328,445906,3883,2017,66.56
2020,2006628,516173,3836,2020,11.21
2021,2006628,501922,3836,2020,33.33
2022,1640177,384525,3839,2016,34.38
2023,1899185,489242,3944,2019,39.46
2024,1899185,502608,3944,2020,58.16
2025,1595092,416833,3819,2016,100.0
2026,1642038,440956,3839,2017,100.0
2027,1642038,511028,3839,2020,37.5
2028,1642038,511028,3839,2020,37.5
2029,2006528,501959,3819,2020,75.63
2030,2006528,501959,3819,2020,75.63
2031,2006528,501962,3819,2020,60.83
2032,1994277,501959,3819,2020,96.1
2033,1994277,501960,3819,2020,62.85
2034,1994277,501962,3819,2020,11.67
2035,1994277,501961,3819,2020,0.18
2036,1889468,502821,3866,2020,55.88
2037,1889468,502823,3866,2020,79.07
2038,1889468,502826,3866,2020,97.06
2039,1813882,447430,3821,2017,100.0
2040,1813882,441051,3821,2017,3.31
2041,1988353,502569,3848,2020,8.3
2042,1692028,489141,3824,2019,99.99
2043,1692028,502367,3824,2020,99.72
2044,1692028,502368,3824,2020,1.52
2045,1907514,488517,3819,2019,46.36
2046,1907514,497028,3819,2019,7.83
2047,1907514,488508,3819,2019,7.46
2048,1908220,488517,3819,2019,92.02
2049,1908220,488518,3832,2019,5.11
2050,1908220,488527,3832,2019,55.03
2051,1908220,489702,3832,2019,63.72
2052,1641138,416819,3834,2016,99.77
2053,1815466,447428,3821,2017,100.0
2054,1815466,470912,3821,2018,28.57
2055,1992763,502152,3820,2020,100.0
2056,1992763,502161,3820,2020,27.37
2057,1853209,489089,3824,2019,99.17
2058,1853209,489111,3824,2019,23.11
2059,1881225,502569,3848,2020,74.32
2060,1881225,501888,3848,2020,13.04
2061,1852065,489141,3824,2019,36.06
2062,1868515,470953,3824,2018,100.0
2063,1868515,489093,3824,2019,92.71
2064,1868515,489045,3824,2019,14.9
2065,1867300,501888,3848,2020,34.78
2066,1867300,511100,3848,2020,29.92
2067,1870142,489124,3834,2019,31.33
2068,1867952,520843,3946,2020,55.74
2069,1867952,520844,3946,2020,15.05
2070,1587630,416722,3824,2016,91.42
2071,1686677,445897,3883,2017,0.09
2072,1681965,470546,3824,2018,92.63
2073,1681965,501868,3947,2020,5.56
2074,1801888,488778,3838,2019,19.75
2075,1801888,488788,3838,2019,3.41
2076,1897383,489124,3834,2019,65.91
2077,1743070,470263,3820,2018,26.72
2078,1918569,487514,3833,2019,50.0
2079,1996344,501961,3819,2020,24.18
2080,1902491,489124,3834,2019,50.64
2081,1998601,502119,3834,2020,7.92
2082,1842750,511575,3827,2020,72.11
2083,1842750,511574,3827,2020,88.07
2084,1842750,511576,3827,2020,59.05
2085,1842750,511577,3827,2020,75.25
2086,1842750,501871,3827,2020,51.72
2087,1985899,498240,3843,2019,82.35
2088,1868307,470998,3883,2018,60.9
2089,1881103,488517,3819,2019,48.5
2090,1883457,502610,3944,2020,87.57
2091,1883457,502611,3944,2020,23.97
2092,1883457,502607,3944,2020,52.77
2093,1869496,470895,3821,2018,29.18
2094,1869496,470897,3821,2018,36.89
2095,1610281,502602,3944,2020,58.06
2096,1610281,502605,3944,2020,24.57
2097,1853954,489045,3824,2019,12.68
2098,1899188,501961,3819,2020,31.5
2099,2001419,501959,3819,2020,40.68
2100,2001419,501959,3819,2020,40.68
2101,1936598,502362,3824,2020,56.53
2102,1992804,502793,3883,2020,73.58
2103,1992348,501959,3819,2020,40.06
2104,1992348,501959,3819,2020,40.06
2105,1992348,502022,3832,2020,21.34
2106,1992348,502022,3832,2020,21.34
2107,1897272,488510,3819,2019,78.02
2108,1897272,501960,3819,2020,0.01
2109,1914972,489045,3824,2019,9.66
2110,1992101,520870,3838,2020,45.06
2111,1846679,470121,3834,2018,100.0
2112,1846679,489069,3834,2019,76.01
2113,1870816,470263,3820,2018,100.0
2114,1870816,470265,3820,2018,58.56
2115,1805725,502370,3824,2020,82.26
2116,1921099,511034,3911,2020,33.33
2117,1921099,501931,3911,2020,60.96
2118,1992354,502362,3824,2020,99.97
2119,1992354,502363,3824,2020,44.1
2120,1831670,441145,3843,2017,3.89
2121,1831670,470559,3843,2018,38.22
2122,1791042,488475,3911,2019,71.87
2123,1623500,470565,3843,2018,9.78
2124,1623500,470563,3843,2018,1.47
2125,1623500,501908,3843,2020,25.0
2126,1896429,488474,3911,2019,91.0
2127,1896429,488475,3911,2019,38.46
2128,1896429,488472,3911,2019,27.75
2129,1896429,488464,3911,2019,80.6
2130,1896429,488462,3911,2019,32.75
2131,1896429,488469,3911,2019,46.43
2132,1661643,502013,3837,2020,10.0
2133,1877825,501904,3866,2020,16.67
2134,1667172,417154,3821,2016,3.42
2135,1864773,502215,3839,2020,15.27
2136,1856968,470790,3839,2018,17.43
2137,1851439,489997,3832,2019,59.28
2138,1851439,489997,3832,2019,59.28
2139,1983406,516219,3842,2020,87.19
2140,1855790,470564,3843,2018,58.62
2141,1855790,490826,3843,2019,32.86
2142,1855790,488881,3843,2019,83.24
2143,1855790,489663,3830,2019,3.28
2144,1855790,488894,3830,2019,20.0
2145,1855790,488885,3830,2019,15.08
2146,2003007,502119,3834,2020,11.36
2147,1937037,516219,3842,2020,90.99
2148,1937037,501875,3842,2020,25.0
2149,1807779,456171,3911,2017,0.98
2150,1858264,489384,3848,2018,79.14
2151,1831650,470263,3820,2018,100.0
2152,1887873,489124,3834,2019,11.59
2153,1678340,501977,3819,2020,1.8
2154,1855340,470998,3883,2018,36.6
2155,1927370,488475,3911,2019,11.53
2156,1927370,488462,3911,2019,6.09
2157,1927370,488467,3911,2019,1.8
2158,1927370,488472,3911,2019,51.83
2159,1853839,470121,3834,2018,100.0
2160,1766403,488932,3866,2019,11.49
2161,1830224,470555,3824,2018,100.0
2162,1812286,445908,3883,2017,96.46
2163,1812286,445897,3883,2017,0.28
2164,1812286,516219,3842,2020,66.76
2165,1812286,501875,3842,2020,25.0
2166,1895425,488778,3838,2019,60.91
